card_name,card_type,color,cmc,power_rank,power_score,pctrank_power,deck_count,total_copies,unscored,unscored_reason,prevalence_flat,prevalence_placement,prevalence_prestige,prevalence_combined,pctrank_prevalence_flat,pctrank_prevalence_placement,pctrank_prevalence_prestige,pctrank_prevalence_combined,gap_flat,gap_placement,gap_prestige,gap_combined
Seething Song,Instant,Red,3.0,22126.0,5618.0,11.11111111111111,5,19,False,scored,0.015435,0.034787,0.015015,0.035796,63.403614457831324,70.88353413654619,63.25301204819277,70.63253012048193,52.29250334672021,59.772423025435074,52.14190093708166,59.52141900937082
Paradoxical Outcome,Instant,Blue,4.0,24223.0,3521.0,5.8558558558558556,4,13,False,scored,0.010561,0.0,0.015516,0.0,57.47991967871486,13.504016064257028,63.60441767068273,13.504016064257028,51.624063822859,7.648160208401173,57.74856181482687,7.648160208401173
Spirit of the Labyrinth,Creature,White,2.0,16651.0,11093.0,26.876876876876878,17,64,False,scored,0.05199,0.039757,0.045045,0.028941,78.01204819277109,72.38955823293173,76.30522088353413,68.02208835341365,51.13517131589421,45.512681356054856,49.428344006657255,41.14521147653677
Elvish Visionary,Creature,Green,2.0,18056.0,9688.0,21.47147147147147,10,40,False,scored,0.032494,0.055218,0.038038,0.079208,72.43975903614458,77.40963855421687,73.84538152610442,82.17871485943775,50.968287564673105,55.938167082745395,52.373910054632944,60.70724338796627
Archon of Emeria,Creature,White,3.0,12447.0,15297.0,37.987987987987985,46,148,False,scored,0.120227,0.113197,0.156657,0.129855,88.70481927710843,87.14859437751004,91.66666666666667,88.855421686747,50.71683128912044,49.16060638952205,53.678678678678686,50.86743369875901
Dread Return,Sorcery,Black,4.0,14621.0,13123.0,31.68168168168168,80,87,False,scored,0.070674,0.069575,0.075576,0.078446,81.97791164658635,81.17469879518072,82.63052208835342,81.82730923694778,50.29622996490467,49.493017113499036,50.948840406671735,50.1456275552661
Goblin Ringleader,Creature,Red,4.0,14744.0,13000.0,30.78078078078078,22,80,False,scored,0.064988,0.145224,0.073574,0.135187,81.02409638554217,90.46184738955823,82.27911646586345,89.1566265060241,50.243315604761385,59.68106660877745,51.49833568508267,58.375845725243316
Food Chain,Enchantment,Green,3.0,22051.0,5693.0,11.26126126126126,4,16,False,scored,0.012998,0.030922,0.01001,0.021325,60.94377510040161,68.77510040160642,56.27510040160642,63.75502008032129,49.68251383914035,57.51383914034516,45.01383914034516,52.49375881906003
Memory Guardian,Creature,Blue,5.0,20086.0,7658.0,17.26726726726727,7,26,False,scored,0.021121,0.009939,0.021021,0.011424,66.76706827309236,51.7570281124498,66.91767068273093,55.321285140562246,49.49980100582509,34.48976084518253,49.65040341546366,38.05401787329498
Coveted Jewel,Artifact,Colorless,6.0,20874.0,6870.0,15.315315315315315,5,20,False,scored,0.016247,0.0,0.012012,0.0,64.20682730923694,13.504016064257028,59.63855421686747,13.504016064257028,48.891511993921625,-1.811299251058287,44.32323890155215,-1.811299251058287
"Atraxa, Grand Unifier",Creature,Multicolor,7.0,9887.0,17857.0,46.3963963963964,149,302,False,scored,0.245329,0.173385,0.244244,0.210586,95.08032128514056,92.36947791164658,95.28112449799197,93.37349397590361,48.68392488874416,45.973081515250186,48.88472810159557,46.977097579507216
Thoughtseize,Sorcery,Black,1.0,8554.0,19190.0,50.3003003003003,332,1049,False,scored,0.852153,0.76201,0.795796,0.73572,98.79518072289157,98.49397590361446,98.69477911646587,98.19277108433735,48.49488042259127,48.193675603314155,48.39447881616557,47.89247078403705
Song of Creation,Enchantment,Multicolor,4.0,24684.0,3060.0,4.804804804804805,10,10,False,scored,0.008123,0.014357,0.007508,0.009901,53.26305220883534,56.97791164658634,52.359437751004016,54.01606425702811,48.45824740403054,52.17310684178154,47.55463294619921,49.21125945222331
Jeska's Will,Sorcery,Red,3.0,21362.0,6382.0,14.114114114114114,6,17,False,scored,0.01381,0.034235,0.014014,0.038081,62.19879518072289,70.68273092369478,62.09839357429719,71.78714859437751,48.08468106660877,56.56861680958066,47.984279460183075,57.6730344802634
Day's Undoing,Sorcery,Blue,3.0,22363.0,5381.0,10.51051051051051,8,14,False,scored,0.011373,0.027609,0.01001,0.031226,58.58433734939759,67.52008032128514,56.27510040160642,68.62449799196787,48.073826838887086,57.00956981077462,45.76458989109591,58.11398748145736
Meteor Sword,Artifact,Colorless,7.0,18584.0,9160.0,19.06906906906907,27,27,False,scored,0.021933,0.0254,0.019019,0.021325,67.01807228915662,66.46586345381526,65.61244979919678,63.75502008032129,47.94900322008755,47.39679438474619,46.54338073012771,44.685951011252214
Liliana of the Veil,Planeswalker,Black,3.0,21320.0,6424.0,14.414414414414415,7,17,False,scored,0.01381,0.002761,0.020521,0.00495,62.19879518072289,37.24899598393574,66.61646586345381,46.03413654618474,47.78438076630847,22.834581569521326,52.202051449039395,31.619722131770324
Solitude,Creature,White,5.0,8866.0,18878.0,48.64864864864865,122,440,False,scored,0.357433,0.404197,0.374875,0.424981,96.285140562249,96.6867469879518,96.285140562249,96.6867469879518,47.636491913600345,48.038098339303154,47.636491913600345,48.038098339303154
Touch the Spirit Realm,Enchantment,White,3.0,10960.0,16784.0,42.492492492492495,59,161,False,scored,0.130788,0.119823,0.138639,0.140137,89.85943775100401,88.10240963855422,90.16064257028113,89.75903614457832,47.366945258511514,45.609917146061726,47.66815007778863,47.26654365208582
Quantum Riddler,Creature,Blue,5.0,13232.0,14512.0,36.33633633633634,31,100,False,scored,0.081235,0.102154,0.081081,0.096344,83.63453815261045,86.19477911646587,83.83534136546184,84.73895582329317,47.29820181627411,49.85844278012953,47.499005029125506,48.40261948695683
Phyrexian Devourer,Creature,Colorless,6.0,26753.0,991.0,2.2522522522522523,8,8,False,scored,0.006499,0.004417,0.005005,0.003046,49.34738955823293,43.22289156626506,45.33132530120482,41.91767068273092,47.09513730598068,40.97063931401281,43.079073048952566,39.66541843047867
